year,var,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
1997,gdhi_pc_gbp,9101,9602,9475,9664,9675,11160,12902,12682,10907,9256,9581,8558
1998,gdhi_pc_gbp,9146,9748,9725,9845,9971,11339,13333,12908,11124,9293,9794,8585
1999,gdhi_pc_gbp,9487,10254,10192,10278,10344,11815,14170,13337,11518,9714,10155,8911
2000,gdhi_pc_gbp,9976,10699,10617,10660,10798,12432,15204,14032,11948,10266,10747,9371
2001,gdhi_pc_gbp,10435,11079,10970,11103,11215,12996,15761,14496,12409,10689,11281,9626
2002,gdhi_pc_gbp,10617,11371,11249,11371,11472,13327,15979,14836,12587,10985,11682,10157
2003,gdhi_pc_gbp,10952,11761,11611,11849,11775,13603,16678,15057,12928,11397,12082,10638
2004,gdhi_pc_gbp,11453,12200,11988,12294,12177,14023,17579,15629,13385,11852,12660,11229
2005,gdhi_pc_gbp,11679,12583,12285,12626,12376,14529,18602,16188,13890,12145,13085,11802
2006,gdhi_pc_gbp,12101,12997,12710,13034,12835,14973,19535,16920,14601,12527,13702,12389
2007,gdhi_pc_gbp,12419,13520,13236,13793,13191,15612,20959,17739,15128,12899,14419,12650
2008,gdhi_pc_gbp,12693,13733,13393,13945,13527,16112,21572,18086,15594,13413,15009,12852
2009,gdhi_pc_gbp,13258,14233,13754,14166,13846,16527,21477,18445,15679,13423,15194,13014
2010,gdhi_pc_gbp,13508,14383,13844,14226,14019,16684,21651,18520,16079,13660,15435,13232
2011,gdhi_pc_gbp,13659,14516,14075,14508,14200,16807,21474,18703,16330,13887,15735,13528
2012,gdhi_pc_gbp,14197,14948,14453,14971,14553,17396,22775,19333,16663,14279,16183,13737
2013,gdhi_pc_gbp,14537,15439,14887,15463,15080,18067,24052,20164,17313,14572,16776,14330
2014,gdhi_pc_gbp,14898,15835,15284,15918,15603,18607,24979,20641,17874,14977,17149,14766
2015,gdhi_pc_gbp,15442,16589,15991,16717,16423,19697,26761,21909,18711,15461,17681,15285
2016,gdhi_pc_gbp,15606,16692,16058,16724,16688,20021,27146,22202,18905,15533,17770,15509
2017,gdhi_pc_gbp,15933,17164,16517,17187,16912,20595,27572,22750,19343,16018,18110,16012
2018,gdhi_pc_gbp,16346,17746,17134,17729,17476,21392,29015,23558,20101,16624,18628,16427
2019,gdhi_pc_gbp,16866,18371,17673,18345,17966,22062,29809,24335,20920,17037,19291,17045
2020,gdhi_pc_gbp,16935,18418,17669,18394,17929,21711,29202,23911,20579,17200,19173,16965
2021,gdhi_pc_gbp,17663,18864,18363,18956,18566,22337,31094,24623,21221,18038,19630,17636
1997,gdhi_pc_index,85.9,90.7,89.5,91.2,91.3,105.4,121.8,119.7,103,87.4,90.5,80.8
1998,gdhi_pc_index,84.6,90.2,89.9,91,92.2,104.9,123.3,119.4,102.9,85.9,90.6,79.4
1999,gdhi_pc_index,84,90.8,90.2,91,91.6,104.6,125.5,118.1,102,86,89.9,78.9
2000,gdhi_pc_index,84,90.1,89.4,89.7,90.9,104.6,128,118.1,100.6,86.4,90.5,78.9
2001,gdhi_pc_index,84.5,89.8,88.9,90,90.9,105.3,127.7,117.4,100.5,86.6,91.4,78
2002,gdhi_pc_index,84,90,89,90,90.8,105.5,126.5,117.4,99.6,87,92.5,80.4
2003,gdhi_pc_index,84.1,90.3,89.2,91,90.4,104.5,128.1,115.6,99.3,87.5,92.8,81.7
2004,gdhi_pc_index,84.5,90.1,88.5,90.7,89.9,103.5,129.7,115.4,98.8,87.5,93.4,82.9
2005,gdhi_pc_index,83.2,89.7,87.6,90,88.2,103.6,132.6,115.4,99,86.6,93.3,84.1
2006,gdhi_pc_index,82.8,89,87,89.2,87.9,102.5,133.7,115.8,99.9,85.7,93.8,84.8
2007,gdhi_pc_index,81.2,88.4,86.5,90.2,86.2,102.1,137,116,98.9,84.3,94.3,82.7
2008,gdhi_pc_index,80.9,87.6,85.4,88.9,86.2,102.7,137.5,115.3,99.4,85.5,95.7,81.9
2009,gdhi_pc_index,83.1,89.2,86.2,88.8,86.8,103.6,134.6,115.6,98.3,84.1,95.3,81.6
2010,gdhi_pc_index,83.7,89.2,85.8,88.2,86.9,103.4,134.2,114.8,99.7,84.7,95.7,82
2011,gdhi_pc_index,83.8,89.1,86.4,89,87.1,103.1,131.8,114.8,100.2,85.2,96.6,83
2012,gdhi_pc_index,84.1,88.6,85.7,88.7,86.3,103.1,135,114.6,98.8,84.6,95.9,81.4
2013,gdhi_pc_index,82.9,88,84.9,88.1,86,103,137.1,114.9,98.7,83.1,95.6,81.7
2014,gdhi_pc_index,82.4,87.6,84.6,88.1,86.3,103,138.2,114.2,98.9,82.9,94.9,81.7
2015,gdhi_pc_index,81.1,87.1,84,87.8,86.3,103.4,140.5,115.1,98.3,81.2,92.9,80.3
2016,gdhi_pc_index,81.1,86.7,83.4,86.9,86.7,104,141,115.3,98.2,80.7,92.3,80.6
2017,gdhi_pc_index,80.9,87.2,83.9,87.3,85.9,104.6,140,115.5,98.2,81.3,92,81.3
2018,gdhi_pc_index,80,86.8,83.8,86.7,85.5,104.6,141.9,115.2,98.3,81.3,91.1,80.3
2019,gdhi_pc_index,79.9,87.1,83.7,86.9,85.1,104.5,141.3,115.3,99.1,80.7,91.4,80.8
2020,gdhi_pc_index,81,88.1,84.5,88,85.8,103.8,139.7,114.4,98.4,82.3,91.7,81.1
2021,gdhi_pc_index,81.5,87,84.7,87.4,85.6,103,143.4,113.6,97.9,83.2,90.6,81.3
1998,gdp_pc_gbp,12754,14658,14264,14760,15009,16301,27560,19095,15435,12762,15447,13312
1999,gdp_pc_gbp,13085,15430,14780,15159,15530,16904,28743,19916,16125,13107,15805,14103
2000,gdp_pc_gbp,13537,15839,15286,15674,16004,17671,30677,20773,16750,13660,16496,15103
2001,gdp_pc_gbp,14132,16716,15909,16205,16518,18459,31214,21439,17492,14061,17368,15670
2002,gdp_pc_gbp,15042,17477,16710,16757,17073,19082,32094,22352,18166,14616,18096,16134
2003,gdp_pc_gbp,15901,18388,17765,17508,17878,20164,33850,23320,19075,15517,19154,17352
2004,gdp_pc_gbp,17106,19324,18625,18204,18672,20758,35465,24006,20009,16312,20282,18053
2005,gdp_pc_gbp,17820,20181,19369,18979,19388,21713,37743,24996,20735,17010,21394,18976
2006,gdp_pc_gbp,18669,21165,20188,19837,19955,22613,39606,25927,21572,17811,22735,19938
2007,gdp_pc_gbp,19085,21881,21159,20516,20451,23296,42511,26863,22252,18384,23526,20545
2008,gdp_pc_gbp,19483,22209,21224,20977,20861,23832,42972,27838,22953,18398,24380,20558
2009,gdp_pc_gbp,19167,21852,20602,20189,20021,22920,41310,27034,22472,17968,23935,19963
2010,gdp_pc_gbp,19620,22482,20893,21001,20760,23339,42605,27833,23251,18590,24108,20011
2011,gdp_pc_gbp,20056,22764,21290,21358,21373,23481,43870,28462,23535,19333,24701,20486
2012,gdp_pc_gbp,20511,23259,21679,21925,21893,23962,45030,29171,24057,19840,25341,21107
2013,gdp_pc_gbp,20806,24062,22242,22741,22802,24818,46793,30080,24678,20551,26441,21624
2014,gdp_pc_gbp,21379,24939,22880,23418,23660,25887,49249,31059,25761,21055,27550,22165
2015,gdp_pc_gbp,22097,25782,23796,23977,24406,26659,50347,32016,26105,21688,27792,22894
2016,gdp_pc_gbp,22436,26652,24252,24520,25301,27630,52874,32654,26869,22512,28116,23950
2017,gdp_pc_gbp,22953,27652,25259,25139,26240,29174,54319,33572,28026,23214,29235,24739
2018,gdp_pc_gbp,23397,28206,25935,26099,26937,29650,55940,34519,28594,23944,29842,25285
2019,gdp_pc_gbp,24257,29248,26690,26807,27334,30675,57500,36080,29639,24830,30727,26394
2020,gdp_pc_gbp,22514,27520,25243,25424,25641,28546,54225,34217,27678,23214,28749,25345
2021,gdp_pc_gbp,24575,29681,27692,27505,27649,30442,59855,36174,29628,25665,30869,27154